Stock name,Symbol,Link
Aksh Optifibre Limited,AKSHOPTFBR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKSHOPTFBR"""
Akums Drugs & Pharmaceuticals Ltd,AKUMS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKUMS"""
Akzo Nobel India Limited,AKZOINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AKZOINDIA"""
Alankit Limited,ALANKIT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALANKIT"""
Albert David Limited,ALBERTDAVD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALBERTDAVD"""
Alembic Limited,ALEMBICLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALEMBICLTD"""
Alicon Castalloy Limited,ALICON,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALICON"""
Alivus Life Sciences Ltd,ALIVUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALIVUS"""
Alkali Metals Limited,ALKALI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALKALI"""
Alkem Laboratories Limited,ALKEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALKEM"""
Alkyl Amines Chemicals Limited,ALKYLAMINE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALKYLAMINE"""
Allcargo Logistics Limited,ALLCARGO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALLCARGO"""
Alldigi Tech Ltd,ALLDIGI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALLDIGI"""
Almondz Global Securities Limited,ALMONDZ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALMONDZ"""
Alok Industries Ltd,ALOKINDS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALOKINDS"""
Alpa Laboratories Limited,ALPA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPA"""
Kotak Nifty Alpha 50 ETF,ALPHA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPHA"""
Mirae Asset Nifty 200 Alpha 30 ETF,ALPHAETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPHAETF"""
Alphageo (india) Limited,ALPHAGEO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPHAGEO"""
ICICI Prudential Nifty Alpha Low Volatility 30 ETF,ALPL30IETF,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPL30IETF"""
Alps Industries Limited,ALPSINDUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ALPSINDUS"""
Amber Enterprises India Ltd,AMBER,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMBER"""
Ambica Agarbathies Aroma & Industries Ltd,AMBICAAGAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMBICAAGAR"""
Ambika Cotton Mills Limited,AMBIKCO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMBIKCO"""
Ambuja Cements Limited,AMBUJACEM,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMBUJACEM"""
Amd Industries Limited,AMDIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMDIND"""
Ami Organics Ltd,AMIORG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMIORG"""
AMJ Land Holdings Ltd,AMJLAND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMJLAND"""
Amines & Plasticizers Ltd,AMNPLST,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMNPLST"""
Amrutanjan Health Care Limited,AMRUTANJAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AMRUTANJAN"""
Anand Rathi Wealth Ltd,ANANDRATHI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANANDRATHI"""
Anant Raj Limited,ANANTRAJ,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANANTRAJ"""
Andhra Paper Ltd,ANDHRAPAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANDHRAPAP"""
The Andhra Sugars Limited,ANDHRSUGAR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANDHRSUGAR"""
Angel One Ltd,ANGELONE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANGELONE"""
Anik Industries Limited,ANIKINDS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANIKINDS"""
Anmol India Ltd,ANMOL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANMOL"""
Ansal Properties & Infrastructure Limited,ANSALAPI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANSALAPI"""
Antarctica Limited,ANTGRAPHIC,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANTGRAPHIC"""
Anuh Pharma Ltd,ANUHPHR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANUHPHR"""
The Anup Engineering Ltd,ANUP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANUP"""
Anupam Rasayan India Ltd,ANURAS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ANURAS"""
Angel One Nifty Total Market ETF,AONETOTAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AONETOTAL"""
Apar Industries Limited,APARINDS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APARINDS"""
Anjani Portland Cement Ltd.-$,APCL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APCL"""
Apcotex Industries Limited,APCOTEXIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APCOTEXIND"""
Apex Frozen Foods,APEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APEX"""
Apl Apollo Tubes Limited,APLAPOLLO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APLAPOLLO"""
Alembic Pharmaceuticals Limited,APLLTD,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APLLTD"""
Apollo Micro Systems Ltd,APOLLO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APOLLO"""
Apollo Hospitals Enterprise Limited,APOLLOHOSP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APOLLOHOSP"""
Apollo Pipes Ltd,APOLLOPIPE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APOLLOPIPE"""
Apollo Tyres Limited,APOLLOTYRE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APOLLOTYRE"""
Apollo Sindoori Hotels Limited,APOLSINHOT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APOLSINHOT"""
Aptech Limited,APTECHT,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APTECHT"""
Aptus Value Housing Finance India Ltd,APTUS,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:APTUS"""
Archidply Industries Limited,ARCHIDPLY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARCHIDPLY"""
Archies Limited,ARCHIES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARCHIES"""
Amara Raja Energy & Mobility Ltd,ARE&M,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARE&M"""
Rajdarshan Industries Ltd,ARENTERP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARENTERP"""
Aries Agro Limited,ARIES,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARIES"""
Arihant Capital Markets Ltd,ARIHANTCAP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARIHANTCAP"""
Arihant Superstructures Ltd,ARIHANTSUP,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARIHANTSUP"""
Arkade Developers Ltd,ARKADE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARKADE"""
Arman Financial Services Limited,ARMANFIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARMANFIN"""
Aro Granite Industries Limited,AROGRANITE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:AROGRANITE"""
Arrow Greentech Limited,ARROWGREEN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARROWGREEN"""
Artemis Medicare Services Ltd,ARTEMISMED,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARTEMISMED"""
Art Nirman Ltd,ARTNIRMAN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARTNIRMAN"""
Arvee Laboratories (India) Ltd,ARVEE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARVEE"""
Arvind Limited,ARVIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARVIND"""
Arvind Fashions Ltd,ARVINDFASN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARVINDFASN"""
Arvind Smartspaces Limited,ARVSMART,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ARVSMART"""
Asahi India Glass Limited,ASAHIINDIA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASAHIINDIA"""
Asahi Songwon Colors Limited,ASAHISONG,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASAHISONG"""
Automotive Stampings And Assemblies Limited,ASAL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASAL"""
Associated Alcohols & Breweries Ltd,ASALCBR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASALCBR"""
Ashapura Minechem Limited,ASHAPURMIN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHAPURMIN"""
Ashiana Housing Limited,ASHIANA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHIANA"""
Ashima Limited,ASHIMASYN,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHIMASYN"""
Ashoka Buildcon Limited,ASHOKA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHOKA"""
Ashoka Metcast Ltd,ASHOKAMET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHOKAMET"""
Ashok Leyland Limited,ASHOKLEY,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASHOKLEY"""
Asian Energy Services Ltd,ASIANENE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ASIANENE"""
